Id;date;assigned_group;trial_tot;fase_prueba.thisN;fase_testeo.thisN;difficulty;dominant_color;dominant_count;correctAns;resp_prueba.keys;resp_prueba.rt;resp_testeo.keys;resp_testeo.rt;scale_order;confidence_key;confidence_level;confidence_label;group
0002;2026-05-20_12h11.10.197;Experimental;;;;;;;;;;;;Reverse;;;;
0002;2026-05-20_12h11.10.197;;;;;;;;;;;;;;;;;
0002;2026-05-20_12h11.10.197;;;;;;;;;;;;;;;;;
0002;2026-05-20_12h11.10.197;;1;0;;Easy;Red;62;n;n;17.336.999.999.992.500;;;;;;;
0002;2026-05-20_12h11.10.197;;2;1;;Average;Blue;55;c;c;0.8506000000014851;;;;;;;
0002;2026-05-20_12h11.10.197;;3;2;;Average;Blue;52;c;c;0.9260000000000019;;;;;;;
0002;2026-05-20_12h11.10.197;;4;3;;Easy;Blue;62;c;c;0.5351000000014849;;;;;;;
0002;2026-05-20_12h11.10.197;;5;4;;Easy;Blue;62;c;c;0.7256000000014922;;;;;;;
0002;2026-05-20_12h11.10.197;;6;5;;Difficult;Red;44;n;n;0.7508000000007513;;;;;;;
0002;2026-05-20_12h11.10.197;;7;6;;Difficult;Blue;43;c;n;0.8004999999999995;;;;;;;
0002;2026-05-20_12h11.10.197;;8;7;;Difficult;Blue;43;c;n;0.559100000001493;;;;;;;
0002;2026-05-20_12h11.10.197;;9;8;;Difficult;Blue;44;c;c;0.7590999999977655;;;;;;;
0002;2026-05-20_12h11.10.197;;10;9;;Average;Red;52;n;n;14.671.999.999.992.500;;;;;;;
0002;2026-05-20_12h11.10.197;;11;10;;Average;Red;52;n;n;0.5237000000029752;;;;;;;
0002;2026-05-20_12h11.10.197;;12;11;;Difficult;Blue;42;c;n;0.49390000000222045;;;;;;;
0002;2026-05-20_12h11.10.197;;13;12;;Average;Red;53;n;n;0.41769999999925744;;;;;;;
0002;2026-05-20_12h11.10.197;;14;13;;Difficult;Red;41;n;n;12.681.000.000.014.900;;;;;;;
0002;2026-05-20_12h11.10.197;;15;14;;Difficult;Red;44;n;n;0.45030000000073755;;;;;;;
0002;2026-05-20_12h11.10.197;;16;15;;Easy;Blue;64;c;c;0.7531999999992536;;;;;;;
0002;2026-05-20_12h11.10.197;;17;16;;Average;Blue;54;c;c;0.3999999999999915;;;;;;;
0002;2026-05-20_12h11.10.197;;18;17;;Easy;Blue;63;c;c;0.30049999999999955;;;;;;;
0002;2026-05-20_12h11.10.197;;19;18;;Easy;Red;63;n;n;0.8103999999985092;;;;;;;
0002;2026-05-20_12h11.10.197;;20;19;;Difficult;Blue;42;c;c;0.667100000001497;;;;;;;
0002;2026-05-20_12h11.10.197;;21;20;;Difficult;Blue;42;c;c;0.9686999999992594;;;;;;;
0002;2026-05-20_12h11.10.197;;22;21;;Easy;Blue;61;c;c;10.339.000.000.022.300;;;;;;;
0002;2026-05-20_12h11.10.197;;23;22;;Easy;Blue;65;c;c;0.5671000000014885;;;;;;;
0002;2026-05-20_12h11.10.197;;24;23;;Average;Red;55;n;n;0.6567999999970198;;;;;;;
