Id,date,assigned_group,trial_tot,fase_prueba.thisN,fase_testeo.thisN,difficulty,dominant_color,dominant_count,correctAns,resp_prueba.keys,resp_prueba.rt,resp_testeo.keys,resp_testeo.rt,scale_order,confidence_key,confidence_level,confidence_label,group
6366,2026-05-19_12h11.28.815,Experimental,,,,,,,,,,,,Standard,,,,
6366,2026-05-19_12h11.28.815,,,,,,,,,,,,,,,,,
6366,2026-05-19_12h11.28.815,,,,,,,,,,,,,,,,,
6366,2026-05-19_12h11.28.815,,1,0,,Average,Red,51,n,n,1.5699000000953731,,,,,,,
6366,2026-05-19_12h11.28.815,,2,1,,Easy,Blue,62,c,c,1.2223999996185313,,,,,,,
6366,2026-05-19_12h11.28.815,,3,2,,Easy,Blue,65,c,c,0.5693999996185326,,,,,,,
6366,2026-05-19_12h11.28.815,,4,3,,Difficult,Blue,45,c,c,1.0712999997138937,,,,,,,
6366,2026-05-19_12h11.28.815,,5,4,,Average,Blue,53,c,c,1.333599999904635,,,,,,,
6366,2026-05-19_12h11.28.815,,6,5,,Difficult,Red,41,n,n,0.2294999999999945,,,,,,,
6366,2026-05-19_12h11.28.815,,7,6,,Average,Blue,54,c,c,0.6266999998092615,,,,,,,
6366,2026-05-19_12h11.28.815,,8,7,,Average,Blue,55,c,n,0.3412999997138968,,,,,,,
6366,2026-05-19_12h11.28.815,,9,8,,Difficult,Blue,42,c,n,0.9548000001907369,,,,,,,
6366,2026-05-19_12h11.28.815,,10,9,,Difficult,Blue,41,c,c,1.0945999999046379,,,,,,,
6366,2026-05-19_12h11.28.815,,11,10,,Average,Red,52,n,n,0.5243000001907347,,,,,,,
6366,2026-05-19_12h11.28.815,,12,11,,Easy,Blue,62,c,c,1.2307000002860988,,,,,,,
6366,2026-05-19_12h11.28.815,,13,12,,Average,Blue,53,c,c,1.0024999999999977,,,,,,,
6366,2026-05-19_12h11.28.815,,14,13,,Difficult,Red,42,n,n,0.8943000001907251,,,,,,,
6366,2026-05-19_12h11.28.815,,15,14,,Difficult,Blue,42,c,c,1.2734999999999985,,,,,,,
6366,2026-05-19_12h11.28.815,,16,15,,Easy,Red,65,n,n,0.576199999809262,,,,,,,
6366,2026-05-19_12h11.28.815,,17,16,,Easy,Blue,64,c,c,0.40630000019073975,,,,,,,
6366,2026-05-19_12h11.28.815,,18,17,,Easy,Blue,63,c,c,0.6149000000953606,,,,,,,
6366,2026-05-19_12h11.28.815,,19,18,,Average,Blue,54,c,c,0.7240000000000038,,,,,,,
6366,2026-05-19_12h11.28.815,,20,19,,Difficult,Red,43,n,n,0.6723000001907309,,,,,,,
6366,2026-05-19_12h11.28.815,,21,20,,Average,Blue,55,c,c,0.5087000002861117,,,,,,,
6366,2026-05-19_12h11.28.815,,22,21,,Difficult,Blue,43,c,n,0.6305999999046321,,,,,,,
6366,2026-05-19_12h11.28.815,,23,22,,Difficult,Red,44,n,c,0.6170999999046387,,,,,,,
6366,2026-05-19_12h11.28.815,,24,23,,Easy,Blue,65,c,c,0.744099999904634,,,,,,,
6366,2026-05-19_12h11.28.815,,25,24,,Difficult,Red,45,n,n,1.0024999999999977,,,,,,,
6366,2026-05-19_12h11.28.815,,26,25,,Difficult,Blue,41,c,c,0.503699999809271,,,,,,,
6366,2026-05-19_12h11.28.815,,27,26,,Average,Blue,52,c,c,0.5157000002861025,,,,,,,
6366,2026-05-19_12h11.28.815,,28,27,,Easy,Red,62,n,n,0.4607000002860957,,,,,,,
6366,2026-05-19_12h11.28.815,,29,28,,Average,Red,53,n,n,0.5080000000000098,,,,,,,
6366,2026-05-19_12h11.28.815,,30,29,,Easy,Blue,61,c,c,0.3390999999046329,,,,,,,
6366,2026-05-19_12h11.28.815,,31,30,,Difficult,Red,45,n,n,0.337600000381471,,,,,,,
6366,2026-05-19_12h11.28.815,,32,31,,Easy,Blue,63,c,c,0.28340000009536936,,,,,,,
6366,2026-05-19_12h11.28.815,,33,32,,Easy,Red,61,n,n,0.1800999999046411,,,,,,,
6366,2026-05-19_12h11.28.815,,34,33,,Average,Red,51,n,n,0.45259999990463484,,,,,,,
6366,2026-05-19_12h11.28.815,,35,34,,Easy,Red,65,n,n,0.28679999971389236,,,,,,,
